,0
0,0.09364884346723557
1,0.0
2,0.0351710207760334
3,0.0038910347502678633
4,0.015621275641024113
5,0.02277933806180954
6,0.03855719789862633
7,0.013955341652035713
8,0.007234358228743076
9,0.04957703873515129
10,0.044561345130205154
11,0.01699879765510559
12,0.22701495885849
13,0.007273492403328419
14,0.3902300000190735
15,0.0
16,0.008649928495287895
17,0.0
18,0.0
19,0.0
20,0.01947210356593132
21,0.0
22,0.0
23,0.007062407210469246
24,0.0
25,0.015264704823493958
26,0.054772041738033295
27,0.031231513246893883
28,0.2678585946559906
29,0.034266166388988495
30,0.0825449526309967
31,0.09550338983535767
32,0.0786362811923027
33,0.09740479290485382
34,0.0591769814491272
35,0.08540666103363037
36,0.02769330143928528
37,0.0172504261136055
38,0.07686153054237366
39,0.028504017740488052
40,0.23362059891223907
41,0.11696930974721909
42,0.22387097775936127
43,0.08377764374017715
44,0.07575679570436478
45,0.00731175160035491
46,0.08275076746940613
47,0.050595130771398544
48,0.0609692819416523
49,0.10941364616155624
50,0.03997606411576271
51,0.08592728525400162
52,0.033641405403614044
53,0.06482945382595062
54,0.1550600230693817
55,0.2265615165233612
56,0.23809343576431274
57,0.04178357869386673
58,0.07278237491846085
59,0.3064042329788208
60,0.3285220265388489
61,0.20444294810295105
62,0.244271919131279
63,0.27816468477249146
64,0.12286121398210526
65,0.20702406764030457
66,0.18276923894882202
67,0.058381740003824234
68,0.32518166303634644
69,0.07596774399280548
70,0.36206933856010437
71,0.14252862334251404
72,0.05029105395078659
73,0.004716173745691776
74,0.08343183994293213
75,0.017526961863040924
76,0.04232192784547806
77,0.04529644548892975
78,0.02537052147090435
79,0.05058511719107628
80,0.007517268881201744
81,0.058278683573007584
82,0.2612682580947876
83,0.1581249088048935
84,0.2628931701183319
85,0.02164016105234623
86,0.00888900738209486
87,0.12379025667905807
88,0.23384155333042145
89,0.15642234683036804
90,0.170683354139328
91,0.1800135225057602
92,0.09882645308971405
93,0.1577148288488388
94,0.06693178415298462
95,0.0665903240442276
96,0.1967778503894806
97,0.12967437505722046
98,0.41088607907295227
99,0.04768593981862068
100,0.03003716468811035
101,0.15943382680416107
102,0.17147542536258698
103,0.0720299631357193
104,0.08826136589050293
105,0.007960026152431965
106,0.05809397250413895
107,0.052535299211740494
108,0.0631880983710289
109,0.08841285109519958
110,0.20876184105873108
111,0.19034208357334137
112,0.40143969655036926
113,0.0
114,0.007433290593326092
115,0.041420482099056244
116,0.0804484412074089
117,0.06068917363882065
118,0.024414559826254845
119,0.12369547039270401
120,0.03638337925076485
121,0.09038335084915161
122,0.10754193365573883
123,0.06008239462971687
124,0.1386091113090515
125,0.18532752990722656
126,0.3425464630126953
127,0.1213238537311554
128,0.03126996010541916
129,0.18802402913570404
130,0.23807808756828308
131,0.09126251935958862
132,0.2772526741027832
133,0.13034358620643616
134,0.11948603391647339
135,0.1774924099445343
136,0.1078433245420456
137,0.08785191178321838
138,0.3147311508655548
139,0.15613648295402527
140,0.14570271968841553
141,0.048931825906038284
142,0.06754910200834274
143,0.09282509982585907
144,0.042401716113090515
145,0.05713297054171562
146,0.013729543425142765
147,0.0
148,0.030847860500216484
149,0.032414909452199936
150,0.006594641134142876
151,0.017512299120426178
152,0.14782075583934784
153,0.18031683564186096
154,0.26975053548812866
155,0.037470493465662
156,0.10951963067054749
157,0.145102858543396
158,0.1637912094593048
159,0.04291338846087456
160,0.11622995138168335
161,0.22091805934906006
162,0.19172142446041107
163,0.24894143640995026
164,0.2547415792942047
165,0.12781204283237457
166,0.31277236342430115
167,0.10337267071008682
168,0.09304743260145187
169,0.09205389022827148
170,0.03680191934108734
171,0.07656752318143845
172,0.07848964631557465
173,0.08523689955472946
174,0.015681661665439606
175,0.00823727622628212
176,0.022654006257653236
177,0.025771474465727806
178,0.012124700471758842
179,0.018148811534047127
180,0.08464426547288895
181,0.07729968428611755
182,0.3633419871330261
183,0.21411658823490143
184,0.25946104526519775
185,0.2342720925807953
186,0.19815711677074432
187,0.2590629458427429
188,0.21908456087112427
189,0.1981671303510666
190,0.2084292769432068
191,0.26623356342315674
192,0.2690233588218689
193,0.19139719009399414
194,0.24870997667312622
195,0.45887625217437744
