,0
0,0.7979104518890381
1,0.0037480336613953114
2,0.32506343722343445
3,0.2951118052005768
4,0.19463911652565002
5,0.20900821685791016
6,0.5657082200050354
7,0.593916118144989
8,0.0
9,0.11808885633945465
10,0.04645921662449837
11,0.12927883863449097
12,0.19323408603668213
13,0.39925917983055115
14,0.5349926948547363
15,0.3135567903518677
16,0.08052030205726624
17,0.009935533627867699
18,0.07171709835529327
19,0.0473848395049572
20,0.3358236849308014
21,0.44292837381362915
22,0.4857395887374878
23,0.11186280846595764
24,0.08017941564321518
25,0.24464523792266846
26,0.07545123994350433
27,0.4484061598777771
28,0.7461309432983398
29,0.3745580315589905
30,0.28666970133781433
31,0.24260179698467255
32,0.15425024926662445
33,0.0
34,0.43376296758651733
35,0.14549732208251953
36,0.2404462993144989
37,0.39506298303604126
38,0.37719404697418213
39,0.37189146876335144
40,0.003658856498077512
41,0.7698260545730591
42,0.2335674911737442
43,0.29537704586982727
44,0.2890576720237732
45,0.1652260273694992
46,0.20145180821418762
47,0.11838856339454651
48,0.21234890818595886
